datetime;uc01;uc02;uc03;uc04
07.01.2019 11:00:00;3510,124866823;3063,631683075;2512,042387178;3429,674239358
07.01.2019 12:00:00;887,951469637;731,923108943;516,618486546;684,592227008
07.01.2019 13:00:00;4410,797911404;3724,068224744;2922,252076495;3571,816404549
07.01.2019 14:00:00;4717,017422323;3844,641198449;2996,806294552;3894,848851595
07.01.2019 15:00:00;5164,726460113;4149,429716263;2955,022792160;4045,405315444
07.01.2019 16:00:00;5579,002482967;4433,658254283;3389,836374308;4067,508791810
07.01.2019 17:00:00;5894,243312778;4601,475772837;3213,433697314;4223,545810641
07.01.2019 18:00:00;5944,945615967;4650,619551770;3779,890348588;4031,545671573
07.01.2019 19:00:00;5535,159532376;4480,838900598;3576,658960132;3751,662643688
07.01.2019 20:00:00;5112,552608712;4098,185718429;3098,366584470;3667,512287412
07.01.2019 21:00:00;4815,196974661;3935,382557588;3171,709711416;3452,216040148
07.01.2019 22:00:00;4645,464982284;3848,099987914;2930,626189504;3189,358478340
07.01.2019 23:00:00;4328,143385749;3547,596410755;2801,324706980;3233,584417444
08.01.2019 0:00:00;3741,024465305;3195,780261253;2816,006897532;2691,222210806
08.01.2019 1:00:00;3347,753222852;2870,755383317;2557,336301860;2468,277013521
08.01.2019 2:00:00;2876,381441742;2612,806445609;2503,770939564;2288,310155356
08.01.2019 3:00:00;2551,162182607;2399,418802122;2332,707613349;2235,821199907
08.01.2019 4:00:00;2426,853363346;2300,167687113;2258,035191373;2289,954261208
08.01.2019 5:00:00;2495,934737779;2349,978510200;2191,190062137;2317,247902419
08.01.2019 6:00:00;2598,225938274;2410,242233330;2167,757557790;2304,631599871
08.01.2019 7:00:00;2580,389469335;2382,761563108;2277,707679623;2356,603060745
08.01.2019 8:00:00;2708,989217091;2496,437369673;2173,354545431;2514,508374255
08.01.2019 9:00:00;2839,420318672;2606,986128244;2323,629322062;2624,546527039
08.01.2019 10:00:00;3050,091909344;2726,724276407;2323,806674814;2754,608992171
08.01.2019 11:00:00;3284,557034092;2836,733945030;2452,963908771;2806,006905032
08.01.2019 12:00:00;3406,039507795;3014,640179023;2537,508090866;2926,466724458
08.01.2019 13:00:00;3666,287400143;3113,277281979;2650,820453972;3007,550959116
08.01.2019 14:00:00;4012,365738799;3402,001522352;2678,744160348;3325,610961418
08.01.2019 15:00:00;4450,506266856;3693,979322999;2607,743433659;3875,912029982
08.01.2019 16:00:00;1014,743973388;816,258376937;550,540230817;811,534125858
08.01.2019 17:00:00;5486,915674367;4263,744783888;3086,240762946;4071,460172839
08.01.2019 18:00:00;5375,186334888;4285,302085814;3049,301765338;3602,258939391
08.01.2019 19:00:00;5078,924407172;4082,383568405;3077,157740179;3384,389590824
08.01.2019 20:00:00;4705,598232295;3941,651828644;3238,208235004;3293,464578694
08.01.2019 21:00:00;4470,955489380;3709,843704161;2963,681978821;3363,923717510
08.01.2019 22:00:00;4299,247490068;3555,850351801;2941,806965253;3234,145603361
08.01.2019 23:00:00;3999,650393854;3345,563959936;2745,791143062;2924,408395302
09.01.2019 0:00:00;3535,785746588;3058,138197473;2503,651500143;2510,610797052
09.01.2019 1:00:00;3053,890648158;2696,789887057;2499,090517671;2408,897124638
09.01.2019 2:00:00;2672,129057286;2453,424392310;2416,769839509;2073,197553001
09.01.2019 3:00:00;2143,108405707;2098,748025071;2279,549867986;2000
09.01.2019 4:00:00;2000;2000;2056,951269890;2120,316526706
09.01.2019 5:00:00;2218,048398273;2149,328617035;2000;2247,466216540
09.01.2019 6:00:00;2415,945971859;2289,457550090;2071,549415534;2218,933498512
09.01.2019 7:00:00;2417,240311977;2294,966814436;2153,403056171;2313,410156282
09.01.2019 8:00:00;2542,484908250;2353,495944596;2187,982224585;2375,209088122
09.01.2019 9:00:00;2747,640876322;2530,155472201;2231,706800945;2544,466508001
09.01.2019 10:00:00;2953,571149441;2634,328665591;2212,335027024;2634,142742745
09.01.2019 11:00:00;3165,904691298;2792,452525705;2403,816522201;2751,434908703
09.01.2019 12:00:00;3305,905942450;2884,284048063;2332,424036116;2864,242202519
09.01.2019 13:00:00;3521,901714569;3058,924533227;2410,939671374;3028,899681325
09.01.2019 14:00:00;3856,816142133;3300,744852012;2596,843135440;3211,795978620
09.01.2019 15:00:00;4324,975523153;3644,961015259;2679,401855766;3495,486234209
09.01.2019 16:00:00;4908,545149563;4030,294208761;2993,681966773;3878,571785811
09.01.2019 17:00:00;5285,800010353;4243,956758530;2900,142197322;3856,688171406
09.01.2019 18:00:00;5224,095546377;4266,800817914;3037,535370543;3493,568444890
09.01.2019 19:00:00;4855,805832891;3939,132243466;3083,468025483;3329,230836915
09.01.2019 20:00:00;4544,917857240;3814,944017214;3066,593464526;3090,513039607
09.01.2019 21:00:00;4256,191342415;3565,589759841;2712,065720838;3042,054047474
09.01.2019 22:00:00;3985,473586407;3357,342931734;2941,809253943;2907,499598459
09.01.2019 23:00:00;3807,829249074;3293,257757892;2755,712496932;2809,827246894
10.01.2019 0:00:00;3440,017755132;2960,653100034;2714,367757426;2545,342761220
10.01.2019 1:00:00;3009,906371275;2719,615937096;2646,225709133;2327,648077772
10.01.2019 2:00:00;2633,210977461;2425,367024737;2291,961566630;2140,145762248
10.01.2019 3:00:00;2262,343348495;2172,746160630;2217,930316688;2133,119075238
10.01.2019 4:00:00;2222,898122219;2149,054770800;2096,646568232;2181,976164294
10.01.2019 5:00:00;2334,522831986;2228,202166718;2085,520170985;2278,077069940
10.01.2019 6:00:00;2477,332364707;2319,135703184;2104,857148479;2294,795836723
10.01.2019 7:00:00;2521,421849541;2365,954053293;2135,292282822;2391,527892247
10.01.2019 8:00:00;2636,09979374;2445,872825222;2155,282687082;2504,597773556
10.01.2019 9:00:00;2824,824328806;2555,454951238;2262,352335298;2564,909960022
10.01.2019 10:00:00;3016,628540683;2667,273289243;2381,642880428;2659,670954582
